residence	address	registration	current_location 	company	birthdate	ssn	user_id	username	mail	name	blood_group	station_ID
	福岡県富津市山中新田30丁目14番2号 アーバン氏家新田689	03/25/2023, 00:00:00	(Decimal('81.4131515'), Decimal('23.898458'))	佐藤電気合同会社		208-40-1261	28	kazuyaishikawa	ayamashita@yahoo.com	森 直樹	A+	281
	"4110 Andrews Tunnel Suite 519
New Barbara, MI 75414"	2025/03/10	(Decimal('-57.4150195'), Decimal('49.244793'))	Bryan-Campbell		072-57-0243	62	gdixon	robertmueller@gmail.com	Steve Woods	O-	583
	"Fiebigring 66-21
44147 Bischofswerda"	06 Nov 2023	(Decimal('9.154182'), Decimal('124.413937'))	Fechner Eigenwillig e.G.	2007-10-24	053-16-2957	2022	necati92	stiebitzadem@gmail.com	Lissi Misicher-Heß	A-	478
	新潟県山武郡芝山町二つ室2丁目12番20号	10 Aug 2020	(Decimal('-39.988853'), Decimal('-134.234067'))	橋本建設有限会社	2006-03-18	201-91-6532	1256	hanako90	kyosuke36@hotmail.com	渡辺 加奈	AB-	678
	"Largo de da Mata, 16
Marçola
05462-420 Oliveira de Machado / PE"	2025/03/15	(Decimal('78.750568'), Decimal('104.911377'))	Nunes Camargo - EI		29371580640	1979	fogacaandre	cunhaerick@gmail.com	Maria Isis Pastor	AB-	517
	"3623 Grant Islands Apt. 682
Reyesfort, MS 05778"	13 Jun 2023	(Decimal('65.8555995'), Decimal('68.968507'))	Willis-Gonzalez	1980-04-06	520-89-6054	102	smithdaniel	caitlinbailey@yahoo.com	Alicia Perez	AB-	686
	埼玉県葛飾区入谷2丁目13番17号	2020-01-07	(Decimal('-64.676924'), Decimal('-128.547086'))	合同会社近藤建設	2022-06-24	026-42-6961	366	shota79	suzukiyui@hotmail.com	鈴木 美加子	A+	163
	島根県香取郡神崎町雷門39丁目3番7号	2025/04/05	(Decimal('-12.3130845'), Decimal('-43.780840'))	井上水産有限会社		161-90-7178	1505	kyosukenakamura	shohei82@yahoo.com	佐藤 翔太	O+	441
		2024/11/23	(Decimal('8.5575875'), Decimal('-21.849200'))	吉田建設株式会社		610-72-3473	790	shota49	tsubasafujii@hotmail.com	佐々木 あすか	AB-	319
	"Contrada Verga, 46
45038, Polesella (RO)"	2020-01-31	(Decimal('-66.2224645'), Decimal('-113.886699'))	Vismara s.r.l.		VGLTTE85H16B886B	1827	hugo97	gian95@hotmail.com	Margherita Gabba	AB-	326
	"Hans-Detlef-Hornich-Gasse 55-68
94859 Pinneberg"	27 Apr 2023	(Decimal('64.1610215'), Decimal('-164.437139'))	Weller Pärtzelt AG		733-12-7008	1112	willi66	trappirmgard@yahoo.de	Gerlind Etzold	O-	152
		27 Nov 2024		Gumprich AG	2015-12-12	589-33-0745	1300	wrogner	wohlgemutwolf-dietrich@gmx.de	Sophie Döring	B+	674
	"Sítio de Novais, 94
Grota
37452164 Costela / AM"	09 Oct 2018	(Decimal('-29.782599'), Decimal('174.866627'))	Porto		09634751261	2102	bernardooliveira	hellenacamara@hotmail.com	Elisa Sampaio	B-	45
	"Viale Petruzzi, 88 Appartamento 32
81051, Pietramelara (CE)"	2024/03/02	(Decimal('65.4088995'), Decimal('59.591230'))	Serraglio SPA	1979-01-03	NTTBTC43C01G436Q	2073	silviocorradi	borsiereranieri@libero.it	Vincentio Bosio	AB+	397
	"Piazza Gremese, 8
20022, Castano Primo (MI)"	24 Aug 2024	(Decimal('-39.5496645'), Decimal('13.242960'))	Cafarchia, Sollima e Ferrata SPA	2023-01-25	VNLCNT73B13L482Z	1798	romina75	aldo86@live.com	Sig. Enzo Lerner	AB+	60
	埼玉県品川区無栗屋10丁目25番4号	2020-01-25	(Decimal('67.940067'), Decimal('62.408190'))	合同会社岡本鉱業	1911-12-10	795-84-9211	1140	yamamotonanami	endohideki@hotmail.com	田中 あすか	O+	15
	"Ansgar-Bruder-Ring 1-9
31891 Eisenach"	05/02/2024, 00:00:00	(Decimal('-61.1096835'), Decimal('-17.107214'))	Gorlitz	1965-07-30	300-83-9465	2139	lhess	gutetimm@web.de	Herr Vassilios Krause	A+	480
	"Feira de Pires, 60
Conjunto Taquaril
56650-981 Machado / PI"	2020/06/03	(Decimal('-72.337411'), Decimal('-115.854271'))	Ferreira S.A.		90745263810	551	gferreira	nogueiranatalia@uol.com.br	Maria Clara Novais	B-	153
	"449 Ward Street
Lake Josephburgh, ID 90906"	2020/07/10	(Decimal('3.837387'), Decimal('77.990760'))	Villa and Sons	1918-09-13	309-22-8719	1932	jamesdaniel	martinezjo@yahoo.com	Louis Davidson	O-	247
	"Piazza Carpaccio, 9 Appartamento 71
10146, Torino (TO)"	27 Mar 2024	(Decimal('77.007189'), Decimal('-164.018461'))	Farina, Palazzo e Mastroianni e figli	1955-08-23	CMCZRA77E06D924I	1886	dantebramante	marisaguglielmi@libero.it	Fausto Trotta	A-	452
	"106 Haynes Station Suite 709
South Caleb, MI 07901"	21 May 2025	(Decimal('18.744487'), Decimal('-144.968528'))	Dawson, Wiley and Schroeder	1942-08-30	369-18-0443	2009	otodd	catherine83@yahoo.com	Pamela Smith	A-	430
	"Unit 8448 Box 9368
DPO AE 04989"	2023/09/12	(Decimal('-84.736232'), Decimal('33.812215'))	Braun, Rogers and Walker		815-85-5081	392	xhorn	kristy08@gmail.com	Paige Ponce PhD	B-	704
	"78318 Heather Extension
Port Katherine, NM 65292"	16 Aug 2022	(Decimal('-56.0697315'), Decimal('-55.222383'))	Roberts PLC		161-70-1569	1971	arthurcarter	ashley25@gmail.com	Christopher Trujillo	O-	505
	"Strada Giulietti, 29
85053, Montemurro (PZ)"	2019/11/08	(Decimal('3.354368'), Decimal('117.427225'))	Cianciolo-Calarco s.r.l.		MNCCLD12R46B408Z	590	cicaladionigi	ermanno95@tele2.it	Francesco Nitti	A-	729
	"Loteamento de Castro, 61
Aarão Reis
33377180 da Mata / PR"	2020-09-22	(Decimal('26.705668'), Decimal('136.938602'))	Campos Vargas e Filhos	2008-02-14	74256839038	1441	barbaramartins	anthonyferreira@bol.com.br	Letícia Moura	O+	362
	"Ladeira Mendonça, 95
Serra
24899-514 da Costa / RO"	2022/03/14	(Decimal('-55.124344'), Decimal('108.110673'))	Silveira		93750124841	1233	daniela27	gmontenegro@uol.com.br	Augusto Freitas	O+	223
	"Adelinde-Dehmel-Platz 3/2
20766 Gransee"	2019/08/05	(Decimal('30.569014'), Decimal('5.502559'))	Lindner	1939-11-03	980-58-6571	1306	karola07	sigrunlachmann@yahoo.de	Univ.Prof. Lidija Römer B.Eng.	AB+	84
	"1563 Saunders Trail Suite 778
Jenningsside, AR 30646"	08/31/2023, 00:00:00	(Decimal('52.427510'), Decimal('61.752201'))	Hansen-Allen	1939-06-09	253-11-6495	722	valerie82	sarah17@yahoo.com	John Bush	A+	674
	"158 Marilyn Key
East Dana, LA 59503"	2020/09/03	(Decimal('16.559553'), Decimal('-81.704743'))	Hood-Adkins	1984-09-28	610-63-6433	1765	bethany78	gloriahoward@yahoo.com	David Young	B-	422
	"19709 Willie Via
Dominguezton, NE 34553"	11/08/2019, 00:00:00	(Decimal('-17.814184'), Decimal('104.805730'))	Paul PLC	2004-05-10	523-76-5597	1745	tlyons	mmcdaniel@hotmail.com	Daniel Whitehead	O-	175
	"Hofmannstraße 9
98509 Apolda"	02/04/2019, 00:00:00	(Decimal('50.514377'), Decimal('36.171281'))	Bauer AG	2007-02-16	398-47-7506	2115	dennisheinz	traudeljuettner@gmx.de	Dr. Gotthilf Haase	O-	348
	"Viale Zacchia, 18
86097, Sessano Del Molise (IS)"	2022/02/07	(Decimal('54.5057415'), Decimal('-82.228115'))	Leonetti-Dalla SPA	1923-10-05	DLLFBA49R53I489H	1083	loredana61	bodonigiancarlo@tin.it	Niccolò Ricci-Pisacane	A+	614
	栃木県浦安市押上36丁目18番1号 コーポ平河町282	2019/03/29	(Decimal('75.717870'), Decimal('126.900752'))	池田運輸有限会社		886-47-9700	1519	akemi06	taroito@hotmail.com	松本 美加子	AB-	28
	"Frida-Tröst-Straße 39-55
14529 Eggenfelden"	03 Nov 2022	(Decimal('4.0669935'), Decimal('-44.058565'))	Schuchhardt		833-47-0387	1609	beckeralexandros	wirthkatarina@googlemail.com	Dipl.-Ing. Ingo Müller B.Sc.	A+	536
	大分県新宿区一ツ橋34丁目23番9号	2022/08/06	(Decimal('79.8990865'), Decimal('178.472559'))	佐藤農林合同会社	1959-03-08	650-96-3949	1799	tnakamura	kazuyasato@gmail.com	吉田 七夏	O-	290
		2024-01-10	(Decimal('-52.860637'), Decimal('41.555130'))	小川運輸株式会社	1948-05-25	543-23-6770	270	nakajimaminoru	mituruyamaguchi@gmail.com	山本 知実	A+	396
	"Piazza Rinaldi, 9
66052, Gissi (CH)"	2020-03-28	(Decimal('-22.069120'), Decimal('-31.217522'))	Ajello SPA		NNCGUO60M70L811Q	1980	jrossetti	rapisardipaloma@tiscali.it	Ermes Garibaldi	A-	107
	"Sebastian-Mohaupt-Ring 28/38
28234 Neunburg vorm Wald"	2021/09/06	(Decimal('50.1098545'), Decimal('142.460506'))	Täsche GbR		846-09-8805	614	lars58	franziskasager@yahoo.de	Univ.Prof. Hubertus Dietz	AB+	547
	"138 Welch Ways
New Amy, NE 04277"	06 Feb 2019	(Decimal('-40.4090245'), Decimal('-81.470658'))	Tate, Miller and Robinson		525-81-1978	1432	cbrady	david42@gmail.com	Tony Phillips	AB-	600
		05 Aug 2021	(Decimal('-19.722729'), Decimal('-134.512156'))	Nolcini, Cignaroli e Santorio e figli	1994-03-12	GNTPNI68D23H845L	1324	amandacostalonga	farandaantonietta@alice.it	Sig. Nicola Morricone	A-	334
	"Loosstr. 54
81473 Füssen"	2024/03/22	(Decimal('4.275737'), Decimal('21.771537'))	Hartmann GmbH	1917-06-10	749-77-0162	1893	hesseirena	haufferaleksej@gmx.de	Birthe Putz	O-	383
	"Zobelallee 12/33
30601 Vechta"	12/16/2018, 00:00:00	(Decimal('75.7564405'), Decimal('52.563986'))	Steuer	1954-11-23	859-31-9321	409	ameliehein	luitgardmangold@yahoo.de	Prof. Hans-Dietrich Döring B.Eng.	O-	50
	"Via Gianluca, 41
13028, Scopello (VC)"	02 Jul 2021	(Decimal('70.5699415'), Decimal('43.802715'))	Marcacci, Druso e Montessori SPA		RSPPTZ23S02B808R	1969	mauriliocasalodi	rmontanariello@libero.it	Rembrandt Alfieri	B+	294
	秋田県横浜市栄区入谷9丁目21番10号 コーポ細竹690	2022-04-08	(Decimal('12.0926525'), Decimal('103.169592'))	福田食品有限会社		005-61-5686	660	mikiendo	naoko33@gmail.com	伊藤 里佳	A+	380
		04/24/2021, 00:00:00	(Decimal('-30.0557115'), Decimal('-162.408024'))	株式会社高橋運輸	1984-09-18	683-61-3428	640	manabusasaki	mikikobayashi@yahoo.com	佐藤 和也	AB+	348
	"Residencial André Viana, 27
Vila Real 1ª Seção
00528-888 Correia do Campo / RN"	28 Aug 2022	(Decimal('58.3466735'), Decimal('-94.677021'))	Vargas	2020-10-06	40537691243	939	maya56	dantefogaca@bol.com.br	Rael das Neves	O+	558
		2023-02-14	(Decimal('50.927256'), Decimal('-44.215296'))	Rosenow Mangold AG & Co. OHG	2015-01-12	272-31-6343	1544	stolljacek	haroldklapp@gmail.com	Hans Jörg Mielcarek	O-	656
		2024/08/20	(Decimal('72.406913'), Decimal('-50.905222'))	Davids Stiftung & Co. KGaA	1920-01-22	133-89-6960	1642	fredjohann	mziegert@gmail.com	Lia Fiebig B.A.	B+	675
	広島県羽村市羽折町19丁目1番7号 シャルム神明内793	2019/12/08	(Decimal('-37.1759345'), Decimal('117.776872'))	松本ガス合同会社		251-45-8518	1416	watanabejun	hwatanabe@hotmail.com	小川 治	O+	265
	"Via Graziella, 2 Piano 8
55025, Tereglio (LU)"	2019-04-22	(Decimal('-2.7392225'), Decimal('165.081748'))	Aldobrandi, Visintini e Prada Group		TRPRFL28L06B632B	1054	torquato21	vincenzo02@tiscali.it	Gianmarco Carpaccio	O-	437
	"Gerlachweg 9
72966 Sankt Goar"	02/23/2019, 00:00:00	(Decimal('-1.0282145'), Decimal('-144.339775'))	Pergande Wieloch KG	1950-10-23	135-55-1858	795	huelya98	sigurdsaeuberlich@hotmail.de	Lea Paffrath-Bolnbach	A+	609
		2021-04-22	(Decimal('82.437954'), Decimal('165.730927'))	Smith-Green	1914-06-13	567-47-8591	536	valerieshepard	carolyn32@gmail.com	Kayla Hansen	B-	519
	"0944 Scott Fall Suite 670
Brendanshire, PA 13562"	2024/07/22	(Decimal('18.571104'), Decimal('176.281044'))	Robinson, Kennedy and Campbell	1986-04-24	155-08-5683	1000	rick97	zmathews@yahoo.com	Kaitlin Stanton	O-	146
	"38593 Brooks Lock Suite 256
Norriston, GU 35300"	2019/08/22	(Decimal('-77.3124855'), Decimal('-148.565716'))	Haney, Ellison and Vega	1981-12-11	150-26-5018	1201	jasonstephenson	eileen42@yahoo.com	Julie Frye	AB+	160
	"Pergandeallee 9/5
04431 Koblenz"	05/02/2021, 00:00:00	(Decimal('46.868053'), Decimal('66.844622'))	Weimer		106-04-1767	226	gisbertkarz	yusufwarmer@googlemail.com	Univ.Prof. Lidwina Ortmann MBA.	B-	532
	"Schülerstraße 20
50839 Lüneburg"	2024-04-14	(Decimal('56.7528815'), Decimal('-66.679054'))	Bolzmann		625-14-6796	339	heserheinz-wilhelm	xkade@gmx.de	Mariana Säuberlich B.Sc.	B-	214
	"Borgo Bernini, 293 Piano 7
80050, Santa Maria La Carita' (NA)"	2023/08/27	(Decimal('-64.914527'), Decimal('81.095346'))	Vianello-Crispi Group	1958-03-28	BGODNL42H49L431X	1286	rosalia20	maria08@gmail.com	Nedda Stucchi	O+	150
		2025-08-11	(Decimal('88.453477'), Decimal('177.653461'))	Ruppert		168-01-6317	598	nora89	wigbertniemeier@web.de	Erhardt Steinberg	AB+	104
	栃木県富里市四番町15丁目4番2号	2020-01-23	(Decimal('-68.438973'), Decimal('-137.882618'))	合同会社藤原水産	1912-11-26	219-85-2933	517	fujiwaramituru	yoichi19@yahoo.com	佐藤 太一	A-	61
	"207 Moore Spur Suite 063
Ashleyview, OK 20096"	2021-12-03	(Decimal('-39.861549'), Decimal('-142.581392'))	Marshall-Wallace		089-52-0039	1625	kellydanielle	martha89@yahoo.com	William Kelly	AB-	485
	"Freudenbergerstraße 813
79478 Berlin"	21 Jun 2025	(Decimal('5.8704505'), Decimal('-53.508875'))	Krein	1945-08-11	177-35-6802	939	tbruder	asuessebier@googlemail.com	Freia Bruder	O-	411
	"319 Michelle Walks Suite 548
East Jeffrey, GU 49828"	22 Oct 2024	(Decimal('-47.985348'), Decimal('-79.391407'))	Goodman, Brown and Cole	1929-11-19	114-88-1251	1071	mariastafford	pamelasharp@yahoo.com	David Gilbert	AB+	490
		2020/12/22	(Decimal('-41.790255'), Decimal('-107.714772'))	Harris-Thomas		851-29-4926	1210	swilson	mandy20@hotmail.com	Harold Hardy	O+	467
		02/01/2024, 00:00:00	(Decimal('80.9230075'), Decimal('19.867725'))	Tlustek GbR	1962-08-18	869-05-7685	918	mrogner	fatihwirth@gmx.de	Suzanne Hermann-Dowerg	A+	667
	"Weimerring 21
35862 Brilon"	2022-05-17	(Decimal('-38.5224345'), Decimal('-152.303779'))	Hiller	2024-01-17	220-06-2257	227	roger66	biggenadolf@googlemail.com	Raik Weiß	O+	519
	"02044 Butler Extensions Suite 980
Kimmouth, MS 63426"	2024-03-12	(Decimal('88.5717395'), Decimal('-101.803961'))	Duran, Garcia and Parker		210-90-2131	1621	butlerkevin	samuelthompson@gmail.com	Steven Pierce	AB-	254
		12/08/2021, 00:00:00	(Decimal('85.935016'), Decimal('74.102056'))	Porcellato-Endrizzi Group	1951-07-30	RGRLRI76H24A326U	1298	gabriele39	tropeaflavia@libero.it	Patrizio Gagliardi-Argento	AB+	622
	"Jardim Silva, 45
Juliana
97339-692 Leão de Camargo / MT"	2023-09-11	(Decimal('61.623024'), Decimal('-71.771147'))	da Luz		04319257634	1400	gomesyasmin	claricesouza@yahoo.com.br	Raul Albuquerque	O+	249
		2022/04/25	(Decimal('-89.244235'), Decimal('86.719706'))	Polizzi, Fioravanti e Civaschi s.r.l.		GLLFLV59L50E955F	149	victoria65	arensi@hotmail.com	Maurilio Procacci	O-	732
	"Canale Ginese, 9
20054, Segrate (MI)"	2019/04/08	(Decimal('77.9507475'), Decimal('-151.848569'))	Nicolucci-Fagotto Group		SFFVRN38A06M337M	333	segnirolando	angelo43@fastwebnet.it	Daniele Tartini	A+	424
		22 Feb 2023	(Decimal('70.7316985'), Decimal('8.141637'))	Jenkins-Cruz	2007-06-06	648-96-3402	1498	terrelldanielle	gravesdavid@hotmail.com	Paul Robbins	O-	106
	岡山県横浜市西区湯宮1丁目20番15号	06/23/2025, 00:00:00	(Decimal('16.9900935'), Decimal('-3.944830'))	藤田ガス合同会社		353-04-2053	1541	rika50	pkobayashi@yahoo.com	小林 桃子	B-	599
	宮城県稲城市無栗屋27丁目25番17号	2018-11-16	(Decimal('32.585108'), Decimal('-136.957080'))	株式会社山崎水産	1996-09-02	598-53-9867	1468	mikikimura	yosukenishimura@yahoo.com	山下 健一	B-	639
	"Yusuf-Sölzer-Allee 6
18864 Schwabmünchen"	09/10/2021, 00:00:00	(Decimal('-18.2889315'), Decimal('-153.307827'))	Klingelhöfer GmbH	1971-10-23	232-73-1556	1926	helfried82	marleen86@googlemail.com	Arnim Trupp	O-	350
	静岡県大島町所野32丁目4番7号 クレスト芝公園536	2024-02-12	(Decimal('-43.7439995'), Decimal('130.961310'))	山本農林株式会社	1981-02-17	233-82-3351	1278	yoko90	sasakimituru@hotmail.com	山口 あすか	AB+	641
	"Marlen-Weimer-Platz 8
49029 Greiz"	2019-10-20	(Decimal('-45.4862715'), Decimal('161.847901'))	Martin		379-14-7535	1308	eliaseigenwillig	kjunitz@gmx.de	Canan Stiebitz	B+	439
	大阪府横浜市都筑区独鈷沢13丁目7番18号 皇居外苑パーク778	2020/04/06	(Decimal('-2.3168925'), Decimal('75.955178'))	有限会社吉田鉱業	1921-07-10	268-72-9357	1300	yasuhiro15	mmaeda@hotmail.com	長谷川 美加子	A-	633
		2019/05/26	(Decimal('-2.522376'), Decimal('-111.447609'))	Rubio-Mayer	1963-02-17	307-26-9022	97	michellepope	xowen@gmail.com	Mr. Christopher Massey	AB+	482
	"66817 Scott Pike
Monicaberg, CO 77312"	2025-06-06	(Decimal('1.3692195'), Decimal('5.308205'))	Smith-Glenn	1928-10-13	237-69-6777	981	blakemonica	nmunoz@yahoo.com	Ronnie Richardson	O+	490
	"Marija-Jüttner-Ring 55/99
85655 Magdeburg"	07 Apr 2019	(Decimal('53.1210265'), Decimal('-68.995092'))	Fliegner		836-49-0718	530	petarjungfer	augusta02@gmx.de	Isa Hermighausen-Conradi	B-	52
		2024/12/18	(Decimal('-1.211930'), Decimal('-2.051299'))	Phillips-Foster	2006-03-08	530-94-0463	210	bmartinez	edward05@gmail.com	Justin Jackson	B-	54
		2019/07/11	(Decimal('71.834937'), Decimal('-2.110880'))	Rädel AG & Co. KG	1929-08-19	294-84-2694	1341	bgiess	cosimobirnbaum@hotmail.de	Cemal Müller-Matthäi	O+	76
	"Vereda de Farias, 15
Candelaria
52733818 Rodrigues de Azevedo / RJ"	05/19/2023, 00:00:00	(Decimal('-5.0457915'), Decimal('-153.951955'))	Martins	1933-11-06	18506937221	1216	azevedobenjamim	maya85@bol.com.br	Arthur Miguel Cunha	AB+	459
		07/28/2019, 00:00:00	(Decimal('-87.024531'), Decimal('122.440241'))	Pascarella SPA	1989-07-13	BRNNDA92R18G199O	953	gilardonidaniele	galassosaraceno@alice.it	Camilla Cafarchia-Bossi	A+	272
	"9174 White Creek
Andreaview, DC 87896"	2023-08-28	(Decimal('84.2055185'), Decimal('-35.854272'))	Morris Ltd		477-92-9720	1659	allencolleen	cunninghambenjamin@gmail.com	Kara Reyes	O-	132
	"Stretto Fedele, 13
01039, Vignanello (VT)"	2023-12-20	(Decimal('52.4632035'), Decimal('129.001226'))	Bresciani-Pratesi e figli		VRDNNR66B28D089D	1530	susannacagnin	guido13@libero.it	Donatello Canetta	O+	569
	"Hartungstr. 203
32913 Tecklenburg"	09/24/2020, 00:00:00	(Decimal('3.337321'), Decimal('149.924075'))	Söding Rogner AG		902-34-5892	964	tuerkan78	angelikaloechel@yahoo.de	Helge Warmer	B-	687
	"Blochstr. 135
06636 Melle"	2022-07-30	(Decimal('28.1408695'), Decimal('-166.711027'))	Kraus Wilms GbR		831-00-2798	1367	ingberthenk	veragutknecht@yahoo.de	Ing. Gusti Hoffmann	A-	295
	"Incrocio Venturi, 14
20132, Milano (MI)"	2023-10-25	(Decimal('-31.591382'), Decimal('42.585779'))	Acerbi Group	1973-04-02	BGNGDI17M24I027H	1589	arsenio51	pierangeloraurica@vodafone.it	Raffaella Pepe	AB-	499
	長野県白井市戸塚町16丁目2番12号 虎ノ門虎ノ門ヒルズ森タワーハイツ955	05/14/2020, 00:00:00	(Decimal('30.1817105'), Decimal('42.630074'))	株式会社渡辺銀行	1980-05-17	667-53-1745	127	mnakamura	naoto20@yahoo.com	渡辺 香織	B+	309
		2020-07-19	(Decimal('-76.068264'), Decimal('23.635209'))	Fechner	2020-11-17	231-33-6240	766	qkarz	wstolze@yahoo.de	Ludmilla Kraus	B-	176
	"212 Douglas Lakes Apt. 268
Thorntonton, OK 88556"	2022/12/12	(Decimal('-79.3455985'), Decimal('97.701315'))	Shelton-Buckley		393-72-4382	1556	caseyhill	jeffreypierce@hotmail.com	Pamela Mccullough	O-	601
	"Via Milo, 71 Appartamento 5
23865, Onno (LC)"	02 Jul 2024	(Decimal('35.842505'), Decimal('-9.484586'))	Barcaccia-Perozzo s.r.l.		SCHRTI73S28C963D	2059	veronicatelesio	scarlattiannetta@poste.it	Flavia Scaramucci-Gabba	B+	641
	"Morro Enrico da Costa, 6
Cidade Nova
71175-962 Moura / AC"	2023-03-21	(Decimal('25.139791'), Decimal('-155.175571'))	da Mata	1960-05-02	26378490538	1596	aragaoana-sophia	ysilveira@gmail.com	Sra. Milena da Mota	A-	512
	島根県川崎市高津区中鉢石町14丁目21番18号 アーバン細竹061	2025/03/21	(Decimal('53.342293'), Decimal('-46.518505'))	株式会社阿部印刷	1920-06-09	424-05-5890	701	yamamotomaaya	yyamada@gmail.com	高橋 里佳	A+	550
	"Borgo Piero, 2
90128, Palermo (PA)"	2019/06/06	(Decimal('12.525707'), Decimal('-169.694727'))	Tremonti SPA		RRODNL63R60H556N	1781	rmonte	martino10@gmail.com	Amadeo Roero	B+	727
		15 Oct 2021	(Decimal('43.707264'), Decimal('-39.464087'))	Mazzeo-Pedrazzini SPA		TRCRCC86A71B247Q	1152	giuliospadafora	mluna@gmail.com	Camilla Storladi	B+	117
	"Briemerstr. 7525
28611 Stadtsteinach"	2021-10-29	(Decimal('-65.109329'), Decimal('-6.098682'))	Gnatz Stiftung & Co. KG		182-56-8226	573	rogermuelichen	baerbel61@googlemail.com	Vitus Schwital B.A.	A-	543
	"Vale Garcia, 6
Pongelupe
34397-198 da Mata do Campo / TO"	2022-10-06		Câmara	1964-11-19	46203179850	200	cirinotheo	upires@gmail.com	Júlia Rios	AB+	568
	神奈川県三宅島三宅村京橋28丁目15番12号	2019/03/26	(Decimal('-40.190024'), Decimal('-156.879023'))	井上通信合同会社	1973-08-04	833-25-8079	1167	itakahashi	nanaminakagawa@gmail.com	中村 拓真	AB+	627
	愛媛県印旛郡酒々井町細竹17丁目20番1号	2025-07-08	(Decimal('-41.065938'), Decimal('-20.815780'))	有限会社井上食品	1957-03-08	752-60-3570	1415	nanaminishimura	dwatanabe@yahoo.com	山田 春香	AB-	333
	鳥取県小平市五味ヶ谷32丁目17番12号 東浅草パレス408	2024/06/12	(Decimal('56.5148095'), Decimal('141.358711'))	有限会社岡田電気		328-05-4386	606	lwatanabe	iabe@gmail.com	前田 太一	AB-	112
	"Strada Adele, 66
95041, San Pietro Di Caltagirone (CT)"	2025-09-22	(Decimal('-67.172289'), Decimal('-97.952304'))	Turchi, Simeoni e Tamburini e figli		MZZLFA50E66E291V	1538	biagio80	ocoppola@tim.it	Roberto Bruno	AB+	606
	岡山県川崎市中原区平須賀10丁目16番13号 シャルム芝浦068	02 May 2022	(Decimal('0.0637955'), Decimal('-109.829136'))	鈴木保険有限会社	1971-10-03	131-28-4301	772	sayuriwatanabe	yumiko99@yahoo.com	鈴木 直樹	AB+	364
	"Unit 3984 Box 9921
DPO AP 47127"	2025-08-15	(Decimal('-69.223624'), Decimal('94.379505'))	West, Hamilton and Morrow		016-14-6377	1778	sara45	mistyblackwell@hotmail.com	April Rodriguez	O-	356
	和歌山県新島村湯宮36丁目25番7号 中三依シャルム920	2024/12/23	(Decimal('-24.397234'), Decimal('-136.847214'))	合同会社小林ガス		764-13-9213	1638	ikedachiyo	ryohei98@gmail.com	佐藤 加奈	B+	445
		2025-05-09	(Decimal('52.627164'), Decimal('-82.401303'))	Guerra		71248963040	1269	agatharezende	maria-helenacunha@hotmail.com	Sra. Heloísa Correia	AB+	412
	"55452 Joseph Shoal Apt. 350
Jeffersonfort, ND 13860"	2019-01-08	(Decimal('-72.802730'), Decimal('-52.672517'))	Porter, Mccoy and Lawson		476-97-1473	1515	mporter	williamsjessica@hotmail.com	Todd Bell	B-	375
	"Justine-Loos-Allee 8/5
56971 Dessau"	03/02/2025, 00:00:00	(Decimal('-35.904446'), Decimal('119.592927'))	Wilms AG	1987-03-23	129-32-3747	708	hennyroehricht	koch-iiivonne@yahoo.de	Alicia Beier-Lehmann	B+	280
	"Madlen-Noack-Ring 432
01990 Döbeln"	03 Dec 2022	(Decimal('24.3734265'), Decimal('116.365053'))	Neureuther AG	1942-04-27	954-28-6360	2083	otrommler	ebertclarissa@web.de	Gloria Rohleder	A+	123
	"Lago Daniela Melo, 30
Engenho Nogueira
31016441 Vasconcelos do Galho / RJ"	05/01/2020, 00:00:00	(Decimal('54.307520'), Decimal('114.682414'))	Alves - EI	1997-10-17	14256073906	177	sabrina80	zaragao@hotmail.com	Sra. Maysa Fernandes	O-	454
	"353 Carolyn Mountains
South Maria, IL 57730"	2024/01/19	(Decimal('-68.545776'), Decimal('-22.814226'))	Hall and Sons	2012-07-20	536-39-2712	2102	harrisonharold	qhernandez@gmail.com	Janice Padilla	B+	419
	"6113 Luna Orchard
Port Rebeccaside, MO 98594"	09/28/2019, 00:00:00	(Decimal('-69.8603915'), Decimal('86.498437'))	Thompson Inc	1927-05-29	870-52-1885	1191	ryanmccoy	wesleylawson@gmail.com	Daniel Davis	A-	644
	"Campo Rodrigo Almeida, 3
Vila Nova Cachoeirinha 3ª Seção
42396-071 Sampaio de Lima / AC"	08 Aug 2019	(Decimal('-3.001955'), Decimal('55.266938'))	Vieira	1957-06-09	29103548732	1536	ycastro	brunoramos@ig.com.br	Bruno Alves	A-	96
	"51697 Davidson Brook Suite 475
Hillbury, NV 43392"	24 Jan 2024	(Decimal('55.7712555'), Decimal('39.228338'))	Reid-Richardson		577-98-7156	512	jacqueline16	robert35@yahoo.com	Jessica Stuart	A-	164
	"50279 Little Crest Apt. 485
Jonesbury, VI 52975"	2019-03-03	(Decimal('-14.231938'), Decimal('26.444285'))	Ramos Inc		446-17-8523	2035	bgarcia	diana26@hotmail.com	Philip Salazar	AB-	438
		30 Nov 2021	(Decimal('47.5664725'), Decimal('-150.881327'))	株式会社渡辺銀行	1951-05-23	829-78-6443	1171	akemi67	hideki21@yahoo.com	加藤 春香	B+	18
	"5789 West Rest
Lisaburgh, WA 24759"	05 Jan 2020	(Decimal('66.444255'), Decimal('1.819855'))	Dalton, Wood and Foley	1946-11-18	174-94-8638	1299	ramirezlydia	jamesmacdonald@hotmail.com	John Avila DDS	A+	646
